Name,3-ROOM,4-ROOM,5-ROOM,EXECUTIVE
ANG MO KIO,378000,555000,868000,1
BEDOK,360000,480000,650000,1
BISHAN,1,669400,877500,1
BOON LAY,1,1,1,1
BUKIT BATOK,360000,514000,700000,1
BUKIT MERAH,400000,775400,899000,1
BUKIT PANJANG,375000,480000,590000,780000
BUKIT TIMAH,1,1,1,1
GEYLANG,335000,576500,781500,1
KALLANG,380000,788000,800000,1
NOVENA,1,1,1,1
PASIR RIS,1,520000,641000,796000
HOUGANG,380000,518000,627500,845900
JURONG EAST,360000,465000,643000,1
LIM CHU KANG,1,1,1,1
MANDAI,1,1,1,1
MARINE PARADE,430000,1,1,1
NORTH-EASTERN ISLANDS,1,1,1,1
PIONEER,1,1,1,1
JURONG WEST,358000,481500,566000,685000
PAYA LEBAR,1,1,1,1
PUNGGOL,451000,575900,700000,1
QUEENSTOWN,390000,870000,1,1
SELETAR,1,1,1,1
SEMBAWANG,432500,535000,579000,1
SENGKANG,443400,548000,580000,710000
SERANGOON,386500,539000,1,1
CENTRAL WATER CATCHMENT,1,1,1,1
CHANGI,1,1,1,1
SUNGEI KADUT,1,1,1,1
TAMPINES,410000,536500,652500,850000
DOWNTOWN CORE,1,1,1,1
TANGLIN,1,1,1,1
TENGAH,1,1,1,1
TOA PAYOH,340000,780000,865000,1
MARINA EAST,1,1,1,1
WOODLANDS,395000,495000,580000,762500
MARINA SOUTH,1,1,1,1
MUSEUM,1,1,1,1
NEWTON,1,1,1,1
CHANGI BAY,1,1,1,1
CHOA CHU KANG,389500,500000,588000,679000
CLEMENTI,378000,574900,1,1
SINGAPORE RIVER,1,1,1,1
STRAITS VIEW,1,1,1,1
SIMPANG,1,1,1,1
SOUTHERN ISLANDS,1,1,1,1
TUAS,1,1,1,1
WESTERN ISLANDS,1,1,1,1
WESTERN WATER CATCHMENT,1,1,1,1
YISHUN,372000,474000,620000,788000
ORCHARD,1,1,1,1
OUTRAM,1,1,1,1
RIVER VALLEY,1,1,1,1
ROCHOR,1,1,1,1
